Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\bind,74,7653,5206,3820,0,1218,0,1229,3389,333,1591
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\bind\serial,24,1457,960,704,0,272,0,225,761,108,516
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\bind\tuple,42,5512,3801,2787,0,831,0,880,2262,189,903
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\compat,2,787,543,382,0,109,0,135,321,9,43
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je,417,39436,27436,20064,0,6506,0,5494,16997,1896,9180
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\cleaner,21,2496,1846,1346,0,404,0,246,818,95,457
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\config,12,1067,765,567,0,178,0,124,488,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\dbi,34,3001,2075,1516,0,516,0,410,1329,154,742
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\evictor,1,46,30,21,0,11,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\incomp,1,46,30,21,0,11,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\latch,11,506,330,231,0,121,0,55,297,55,297
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\log,80,7388,5193,3827,0,1235,0,960,3110,362,1742
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\log\entry,16,2651,1969,1530,0,355,0,327,920,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\recovery,13,1214,866,613,0,220,0,128,466,60,296
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\tree,63,7648,5519,4047,0,1180,0,949,3239,286,1382
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\txn,48,4247,3016,2183,0,742,0,489,1815,217,1043
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\util,14,2973,1601,1212,0,302,0,1070,1601,63,301
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\je\utilint,33,2254,1539,1108,0,417,0,298,1008,149,715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests5\com\sleepycat\util,14,2266,1628,1178,0,334,0,304,768,63,301
